otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Ambrosia Hotel Beach & Spa,"So this is a completely honest review of my stay here, still here staying in room 108. I've stayed in hotels ranging from 1 to 5 star. So the price of alcohol and food is absolutely scandalous and quite frankly its just ok. On our 2nd day I went to the local shop and got a beer for myself and a can of coke for wife to have while we relaxed on the beach, my ass didn't even hit the sunbed and there was a security guard and a waiter shouting in my face saying I can't be here etc. I showed my wristband but it didn't calm down, telling me only food and alcohol bought here can be consumed, fair enough I didn't know. They made me feel like a criminal and I was extremely embarrassed. From every food / drink order, not 1 was correct. Always a mistake. Ordered cocktails and went back 30 mins later and they completely forgot, then one bartender criticised the cocktail his colleague made to my face ( shocking) . To the WiFi dropping many times every day. To the room key card not working many times and had to get it reset. Only english channels on tv are news. The cleaning lady is amazing, she is a credit to the hotel. The reception staff are obnoxious, sharp short answers always feel like I'm asking for their visa pin number. And this happened tonight with a sulyman guy, we have a 9 month old baby with us, we had 2 tabs somehow today and was a confusion on our part. Anyway one was paid and we came back to the room, baby asleep in cot, and this sulyman started banging down the room door saying we never paid, I apologised and said we have a baby asleep here I'll pay in the morning, he said no and kept pushing card machine at me. I said this is terrible treatment, you are waking our baby. He didn't care. He bullied and intimidated me into paying at my door. The lady at breakfast in the morning who takes your room number is amazing, she is amazing with our baby and my elderly mother, she deserves a promotion. The rooms are ok, not 5 star. Can hear next door neighbour brushing teeth from adjoining toilet, almost like a shared toilet. The overall pool, hotel main areas and beach however are amazing. Just a lot of things here with staff at the bar / beach need serious and fast action.",4.0,"Posted August 13, 2025",,Stayed in August 2025,,,Family,
Ambrosia Hotel Beach & Spa,Customer service in this hotel is excellent. Yasmin the hotel manager could not do enough for us. Spa facilities were excellent. Indoor pool ideal for a winter stay. About 40 mins taxi ride from Bodrum airport. Hotel has Netflix so once you have an account of you can sign into your tv. Breakfast was superb and breakfast staff amazing. The place was empty ( uk / Irish Feb midterm ) . A few minutes stroll to restaurants on the beach which were mostly open even though hardly anyone around. Rooms are a little dated. Patio door was banging in the wind and a little TLC is needed in bathroom.,10.0,"Posted February 17, 2026",,Stayed in February 2026,,,Family,
Ambrosia Hotel Beach & Spa,"During our stroll, we discovered a superb restaurant boasting a breathtaking vista. A gentleman, Sulyman, welcomed me at the entryway. He provided comprehensive details regarding the menu and the establishment. Subsequently, I was persuaded by his excellent command of English. He later revealed his profession as an English instructor, making me feel completely at ease. The cuisine and service were equally exceptional. Thank you.",10.0,"Posted August 15, 2025",,Stayed in August 2025,,,Solo traveler,
Ambrosia Hotel Beach & Spa,"Great hotel, friendly staff very sad to leave",10.0,"Posted July 2, 2026",,Stayed in July 2026,,,Family,
Ambrosia Hotel Beach & Spa,"Perfect location, coastal area away from all the noise. Stunning reception and a clean and large beach. Also comfortable sunbeds, especially compared to others I’ve used before in different hotels.",10.0,"Posted November 3, 2025",,Stayed in November 2025,,,Family,
Ambrosia Hotel Beach & Spa,I had such a beautiful experience here at ambrosia all the staff were amazing especially Suleyman. They really took care of me as I was on my own and the service was really good. They are all so friendly and welcoming,10.0,"Posted October 4, 2025",,Stayed in October 2025,,,,
Ambrosia Hotel Beach & Spa,"WARNING E COLI OUTBREAK - Do not stay at this hotel. If you have a reservation cancel it. My entire family have contracted E coli. My children are sh*****g blood. They could have killed my elderly mother. There is ZERO hygiene here. Bat6hrooms covered in black mould, cockroaches and contaminated ice and pool water. They take NO measures when preparing food don't even wear gloves. the final insult was holding our luggage hostage and making us pay someone else's extra bill. I am suing. I engaged a lawyer. I also contacted the police and environmental health are investigating. They tried to remove this review but I have full medical records and evidence to back it up. Correspondence with the Turkish embassy and the consular office. You've been warned.",2.0,"Posted September 24, 2025",,Stayed in September 2025,,,,
Ambrosia Hotel Beach & Spa,Arrival was appalling.1am.practally no conversation just key pass man took us to our rooms.left with no info on breakfast hotel ect.room was lovely and clean opened the curtains to a 20inwide veranda no furniture then again it would of had to of been from a dolls house.avoid rooms 244 and 241. Asked to move in morning which the did with hesitation .rooms 216 and 217.nice patio shame my view was overlooking the bin yards and the staff room under just tarpoline the noise was all the time staff coming staff going up to 3am in a morning.then 7am day shift most on mopeds.the maid was excellent.clean towels and water everyday.beach bar staff excellent had meals there everyday great food and service.reception staff useless if you spoke English rude too.we stayed in reception 4hrs waiting to go to airport not onc did they make conversation offer us a drink or say goodbye when taxi came.yet had full blown conversations with other language speaking quest.there was a Turkish wedding on the beach lawn which erupted into a man having a bottle smashed over his head and a girl being hit so hard by a man he knocked her out.watched from my granddaughters room til 3am she was traumatised I'm 72yrs old and the whole experience us both to have no sleep at all until we flew back home 2days later.i have been to bitez each yr for 20yrs never had I been treated like Iv changed from Spain to turkey has many have I will been in bitez soon but maybe not to the ambrosia.,6.0,"Posted September 24, 2025",,Stayed in September 2025,,,,
Ambrosia Hotel Beach & Spa,"Firstly my entire family contracted E coli at this hotel, secondly nothing in the room worked. The air con didn't work, the telephone didn't work, the TV didn't work. We had a 10 day stay during which they still failed to fix these issues. When you make an order through the beach or pool staff for food good lucking finding anyone to serve you, once you do you'll be waiting hours for your food at which point it will be served with a sprinkle of e coli. They do not ask you to sign for anything which I found bizarre then when we tried to leave they kept mine and my children's luggage hostage demanding I pay a huge extras bill that didn't belong to me. As a result of refusing to hand over the luggage we had no choice. I now intend to contact the authorities if I'm not provided a full refund for my stay. That was not a vacation it was a NIGHTMARE, Not to mention NONE of the staff speak English. Absolutely everyone needs to be fired other than Robin at reception who deserves a raise. Without him the whole place would fall apart.",2.0,"Posted September 1, 2025",,Stayed in September 2025,,,Family,
Ambrosia Hotel Beach & Spa,"Nightmare!! It was supposed to be a vacation, but tonight turned into a nightmare. The rooms are different from the photos and there's no air conditioning. Stay away.",2.0,"Posted August 13, 2025",,Stayed in August 2025,,,Couple,
Ambrosia Hotel Beach & Spa,Best service ever - take to Ambrosia and ask for Suleyman. Best man ever !! He got the best service in town The place is near the water and the weather is perfect.,10.0,"Posted August 10, 2025",,Stayed in August 2025,,,Family,
Ambrosia Hotel Beach & Spa,"As you walk in the decor is stunning and a beautifully calm spa feel all around, including the amazing pool with towels & pillow supplied, looking out to the beach. Truely luxurious! We never struggled to get a sunbed. No annoying pool music (other than when a group of guests arrived with a speaker! Quickly actioned by staff as unacceptable) Room was comfortable with all necessities, toiletries, water daily, and cleaned every day -thank you to our lovely cleaning lady. The staff - absolutely lovely! So helpful, friendly & welcoming. Special thanks to Beyza & Robin on reception who went beyond helpful! The lovely Eugene, Turba & Aiysa on the beach & the youngsters who always had a smiling welcome & looked after us perfectly. Breakfast was great, plenty of choice & a great fried egg or omelette by chef. We ate many times in the evening and the food was always excellent. Only improvements would be better adjustable umbrellas on the beach. Other than that the hotel is amazing. Will be returning next year Laraine & Tracey Room 122",10.0,"Posted July 23, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,Rooms are so clean and normally i cant swim in the pool it feels dirty but it was so clean that i couldn’t get out of the pool 😂. Also the employees are so helpful and i especially appreciate front office for their kindness.,10.0,"Posted July 23, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,"We stayed at the Ambrosia hotel for just under a week, we came for the new year party that the hotel was hosting and originally booked to stay for just 1 night as part of their promotion for the event. But we ended up extending by another 3 nights afterwards because we had such a great time. The party was brilliant, when you arrived there was lots of staff to greet you at the entrance with complimentary drinks and horderves. The staff were around for the entire evening across the whole hotel to help with anything we needed. The event itself was fabulous, great dinner service followed by a great band and singer performing, then there was some dancers after the dinner service. We had an amazing new years celebration at Ambrosia. There was a child-minding service during the event too which was great for our youngest child, they played games and read stories in the disco room just across from the main ballroom that the party was held in. The next day we had a lovely buffet for breakfast, the restaurant staff were all very friendly and helpful too. The buffet had a great selection for all preferences too and there was lovely fresh squeezed orange juice that we were told all come from an orchid owned by the hotel, so they grow all of their own organic fruit and vegetables. The rooms were nice and clean and comfortable, housekeeping came everyday to clear the room and changed the bedsheets every 2 days. Lovely housekeeping staff too. The hotel has great amenities as well, there are 2 big swimming pools, one outdoors and one indoors, the indoor pool is heated too which was great at this time of the year. The hotel spa is AMAZING! you can use the sauna/steamrooms/jacuzzis included with your stay and you can book massages, hamans and facials as an extra service. The spa team are very professional too. At the time of reading this review I saw on instagram that the hotel has just received a new 5 star rating, which is well deserved, we had never stayed in a 5 star hotel before however this definitely felt like it was a higher standard than other 4 stars we have stayed with in the past. Highly recommend this hotel for any occasion! 10/10",10.0,"Posted January 11, 2025",,Stayed in January 2025,,,Family,
Ambrosia Hotel Beach & Spa,"We have stayed at this hotel many times, it has now gone to 5 star but unfortunately not 5 star service to match the 5 star prices. The hotel is much improved decoration wise with the rooms etc but the staff have changed since we were last there. How we missed Ahmet, Cenguz and Yucil. Yucil is there a few nights thank god he is the others apart from Solomon who was also brilliant ( not his name but we translated it in yo this) . The lad in charge now is clueless he took our order for drinks ( only 3) and got them wrong 3 times this is supposed to be 5 star!!! Lots of people now staying on packages for turkey teeth! If you want to increase to 5 star 🌟 please look after your guests who are paying the price. Thankyou Yucil for your outstanding service as usual bring back Ahmet who knows what customers need and speaks to the staff politely.",8.0,"Posted July 10, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,"Perfect hotel with everything we need , Great location, very nice staff ,and good breakfast. The only thing could be better, is the hotel gym , old machines with rusty weights.",10.0,"Posted July 9, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,"Staff extremely friendly and helpful, design of hotel is stunning. Very relaxing hotel . Perfect location. Highly recommend",10.0,"Posted July 8, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,"it was a really nice hotel, they were too kind i would definitely stayed more if i had time. i absolutely advise you all to stay at the hotel!",10.0,"Posted July 8, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,For a 4 star hotel the have no irons or ironing boards Asked reception tonight & he said no irons & the laughed at me in my creased clothes,2.0,"Posted July 6, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,Suleyman was an amazing host and we would 10/10 recommend for anyone else visiting! Would recommend to any friend. Hospitality was amazing and they should the Lions Rugby in 2025 which was great! lovely reception staff and also sunbeds Xxx,10.0,"Posted June 29, 2025",,Stayed in June 2025,,,Traveling with friends,
Ambrosia Hotel Beach & Spa,"This is our 3rd visit to this hotel and I can’t recommend it enough. The location is fab right on the beachfront. There is always plenty of sunbeds. The rooms are modern and clean. The staff are excellent special thanks to Ayse, Yucel and Sevket",10.0,"Posted May 31, 2025",,Stayed in May 2025,,,,
Ambrosia Hotel Beach & Spa,"We had such a great stay at Ambrosia Hotel! The rooms were super clean, the staff was really friendly, and the breakfast was honestly one of the best we’ve had at a hotel – so many fresh and tasty options. The spa with the Turkish bath was amazing and definitely worth trying. Huge thanks to Oguz, the hotel manager, for taking such good care of us the whole trip. If you’re looking for fun things to do, just ask him – he’ll set everything up at the best prices. Highly recommend this place!",10.0,"Posted May 24, 2025",,Stayed in May 2025,,,,
Ambrosia Hotel Beach & Spa,"Beautiful clean, wonderful food, Ozzie so helpful, staff care about you, polite approachable we were not staying there but they took pity on us for our situation in Riva Bodrum Resort and offered us there beach loungers and also cooked us a beautiful anniversary dinner and supplied a free dessert can't thank or praise them enough.",10.0,"Posted May 18, 2025",,Stayed in May 2025,,,,
Ambrosia Hotel Beach & Spa,"My sister and I had a fantastic stay at Ambrosia. The staff were incredibly friendly and attentive, always going the extra mile to make us feel welcome and comfortable, and took very good care of us. Our room was spacious, clean, and exceeded our expectations. The onsite facilities, such as the pools, beach, restaurant, spa, and hammam, enhanced our already remarkable experience. The location was also ideal, just a 20-30 minute taxi ride to various tourist attractions. The locals were warm and welcoming as well. A big thank you to all the staff for making our stay so special it didn’t feel like being away from home.",10.0,"Posted November 3, 2024",,Stayed in November 2024,,,Family,
Ambrosia Hotel Beach & Spa,We have just had a lovely 3 night stay with breakfast in this immaculate spotless hotel. The location and interior of this hotel is stunning and has its own private beach which in my opinion is the best part of the beach. If the beach is not for you they have a stunning pool with very comfortable sunbeds and mattresses along with towels. We had a standard double room which was spotlessly clean and comfortable and breakfast was good too although if I am being highly critical it would have been nice if there was fresh fruit and yoghurt available. All the staff were extremely friendly and helpful. Would definitely recommend this hotel to everyone.,10.0,"Posted May 1, 2025",,Stayed in May 2025,,,Couple,
Ambrosia Hotel Beach & Spa,Lovely experience went this hotel and stay there a week first of all it was a very good reception now really caring us. That’s why I recommend this hotel to everybody. You’re gonna feel very comfortable. Especially the foot are very delicious. It’s very good location just five minutes about the city. I hope to come back here again.,10.0,"Posted February 21, 2025",,Stayed in February 2025,,,Solo traveler,
Ambrosia Hotel Beach & Spa,"We have been coming to ambrosia for 13 years and over this time we’ve seen some changes and this year was much better hotel seems to get better every year the only thing we didn’t like was the same breakfast everyday for 2 weeks which was Turkish breakfast, it’s lovely but not for us everyday, but we just went somewhere else for something different. I want to give a shout out to the staff on the front Ahmet Alalp and Genghis but also a lovely lad that made our beach day lovely by doing the simple thing like bring ice to keep our drinks cold (sorry can’t remember your name) and to a gorgeous young lady that started the same day we arrived she didn’t stop running around keeping everything tidy. Hope to see you all again soon. Also thank you to Sedef (Customer relations) for taking our views as guests on board. Thank you everyone. Sarah & Andy xx",8.0,"Posted July 25, 2024",,Stayed in July 2024,,,Couple,
Ambrosia Hotel Beach & Spa,I'm travelling around Turkey since 10 years and I have been seeing many places I have visiting many hotels I'm always honest about my comments but this hotel it was very comfortable for me I really enjoyed my vacation very good service very smiling face appreciate the management I hope to come back thank you,10.0,"Posted January 21, 2025",,Stayed in January 2025,,,,
Ambrosia Hotel Beach & Spa,What a good view what a good service what a good food what a good hotel I want to say thank you to Ambrosia family we had a good vacation thank you very much to look after us well and it's a great location as well it's just 10 minutes from the bodrum City Center it's just 5 minutes to Goumbet Center so it's mean you are on The Middle we would like to come back again,10.0,"Posted January 21, 2025",,Stayed in January 2025,,,,
Ambrosia Hotel Beach & Spa,it was really lovely the vacation I had a great 5-day in this hotel I really enjoyed beautiful in a beautiful bay fantastic service Great welcoming very delicious food location is amazing really really close everywhere I hope you to back there soon I really enjoyed my vacation thank you very much guys,10.0,"Posted January 21, 2025",,Stayed in January 2025,,,Solo traveler,
Ambrosia Hotel Beach & Spa,I can say that it is the best hotel I have ever stayed in because all the staff are very caring and friendly everyone is very interested the rooms are very clean I come on vacation twice a year and I came to this hotel for the first time and my only choice is this hotel thank you very very very very much to all my friends.,10.0,"Posted January 20, 2025",,Stayed in January 2025,,,Family,
Ambrosia Hotel Beach & Spa,"I love this Hotel Beach Is amazing i love breakfast thank for Sedef from guest realitions for support, she is so kindly all staff So kindly too. Im really enojy to being in this place with such a great turkish people and delicious food and drinks. Tesekkur ederim",10.0,"Posted July 19, 2024",,Stayed in July 2024,,,Traveling with friends,
Ambrosia Hotel Beach & Spa,"Stayed at the Ambrosia Hotel with my partner. The view of the islands while having breakfast is amazing. A perfect beach with the calmest sea I've ever seen, there is barely a single ripple. Guys down at the SPA and the restaurant are wonderful people and they do great massages and facials. We had a perfect holiday and the most relaxing and fun time at this hotel. The location is 10/10 right on the water with its own private beach, as well as a 3 minute taxi to the village centre where there are lots of great restaurants, cafes and bars. in addition to this, the hotel is only a 10/15 minute taxi journey from all the main bodrum hotspots (Bodrum marina, Bodrum oldtown, Midtown mall, Water park). The staff at the hotel are all super friendly, reception with 24/7 customer service, room service is nice and fast with no extra cost from normal restaurant prices, cannot fault the housekeeping, restaurant is very tasty and reasonably priced for the area. Tesekkur ederim!!",10.0,"Posted January 15, 2025",,Stayed in January 2025,,,,
Ambrosia Hotel Beach & Spa,Perfect hotel! Amazing beach!! And very delicious meals! I love it! It’s extremely wonderful. We really like cocktails at the beach. Rooms are very clean. Very style hotel! I definitely recommend! Guest relations Sedef she so help us. She’s very cute and kind.,10.0,"Posted July 9, 2024",,Stayed in July 2024,,,Family,
Ambrosia Hotel Beach & Spa,"Ambrosia is the best place in Bitez! with a good music, amazing beach, so delicious food (toasts, cocktails and so on) and kind stuff, especially from guest relation’s Sedef. The sea is also amazing!! I spent time here with my friends and we really enjoyed.",10.0,"Posted July 8, 2024",,Stayed in July 2024,,,Traveling with friends,
Ambrosia Hotel Beach & Spa,Perfect place to stay. I highly recommend it.,10.0,"Posted May 10, 2025",,Stayed in May 2025,,,Family,
Ambrosia Hotel Beach & Spa,"Konumu, otelin hemen önünde sahilinin olması büyük avantajdı. gece yabancı hafif indire müzik çalan asyalı grup gecemize hoş bir seda bıraktı. masaj hizmeti çok dinlendiriciydi.",8.0,"Posted June 12, 2025",,Stayed in June 2025,,,,
Ambrosia Hotel Beach & Spa,Otel eskiydi cok temiz değildi personel ilgisizdi otelin konumu güzeldi.,10.0,"Posted February 20, 2026",,Stayed in February 2026,,,,
Ambrosia Hotel Beach & Spa,Geçen yılda burada kaldık. Genel bir memnuniyetimiz var. Seneye tekrar gelebiliriz,10.0,"Posted July 8, 2025",,Stayed in July 2025,,,,
Ambrosia Hotel Beach & Spa,Mukemmel Okadar guzeldi ki benim icin cok buyuk bi supriz oldu cunku yorumlara aldanip az daha baska otel bakicaktim ama kapidan girdigim an iyi ki demeye basladim:) temizlik konusunda hergun odam temizlendi kocaman bir balkonum vardi havuz cephe ve plaja yakinligi cok iyi. Iyi ki gelmisim Ateşi de cok sevdim calisanlar cok iyi guleryuzlu ilgili insanlar. Bodrum da ilk tercihim Ambrosia.,10.0,"Posted April 17, 2024",,Stayed in April 2024,,,,
